id,carat,cut,color,clarity,depth,table,price
7910,0.31,5,6,8,62.2,54.0,987
7911,0.36,5,4,3,62.7,55.0,689
7912,1.0,1,1,3,65.3,57.0,3175
7913,0.25,3,5,6,61.6,57.0,633
7914,0.33,4,6,7,60.1,58.0,984
7915,0.91,5,6,2,60.8,56.0,3898
7916,0.7,3,5,3,63.2,57.0,2423
7917,0.71,5,5,4,61.8,56.2,3123
7918,0.33,5,6,7,61.7,56.0,984
7919,0.73,5,6,4,61.5,56.0,3310
7920,1.09,5,4,1,61.0,56.0,3614
7921,1.03,2,1,2,56.2,62.0,3188
7922,0.31,5,4,7,61.0,56.0,789
7923,0.5,4,5,4,61.3,60.0,1654
7924,0.35,5,7,4,62.3,55.0,1063
7925,1.54,5,4,4,60.8,57.0,15395
7926,0.5,4,4,5,60.9,58.0,1746
7927,0.5,4,6,2,61.5,58.0,1181
7928,0.71,5,7,5,62.1,57.0,3801
7929,0.31,5,3,6,61.5,56.0,625
7930,0.72,3,6,6,62.0,58.0,3719
7931,0.81,5,5,6,62.3,54.0,4630
7932,0.29,5,4,6,61.3,56.0,600
7933,1.19,5,6,2,60.2,57.0,5717
7934,0.42,4,4,6,61.6,60.0,1029
7935,2.01,2,5,2,64.1,57.0,16085
7936,0.7,5,3,2,61.6,54.0,2110
7937,1.0,2,3,5,61.8,61.0,5219
7938,1.06,4,3,4,62.6,58.0,5783
7939,0.34,3,1,5,61.7,58.0,447
7940,1.01,2,6,3,58.6,62.0,5233
7941,0.9,3,2,5,62.6,58.0,3844
7942,0.52,3,7,4,60.0,57.0,1664
7943,0.51,3,5,5,61.4,60.0,1604
7944,1.2,3,5,2,62.2,62.0,5247
7945,0.35,3,4,5,60.7,61.0,706
7946,1.0,2,2,5,63.8,56.0,4202
7947,0.3,5,6,7,60.6,57.0,956
7948,0.9,5,7,2,62.4,56.0,4078
7949,1.01,2,4,6,63.2,59.0,7137
7950,0.3,4,4,7,59.8,62.0,945
7951,1.25,4,1,4,62.2,59.0,5396
7952,0.71,5,7,4,62.4,56.0,3372
7953,0.71,5,5,2,60.7,57.0,2291
7954,1.14,5,3,4,61.6,56.0,5831
7955,0.25,3,6,4,61.3,57.0,480
7956,1.01,3,7,5,63.1,58.0,7575
7957,1.04,5,4,4,59.4,58.0,6286
7958,1.08,5,6,3,62.6,57.0,5096
7959,1.07,5,5,6,60.3,55.0,10093
7960,0.3,5,6,4,62.6,54.0,844
7961,0.71,4,2,4,62.8,59.0,2300
7962,0.31,4,4,5,62.4,58.0,625
7963,0.3,4,3,3,61.2,60.0,540
7964,0.83,5,5,3,62.1,57.0,3010
7965,0.5,5,6,4,61.4,57.0,1624
7966,0.56,5,7,2,60.0,58.0,1568
7967,0.32,5,4,5,62.5,57.0,718
7968,0.9,3,6,2,61.1,58.0,3902
7969,0.36,5,7,4,61.5,57.0,852
7970,0.91,3,3,6,62.9,58.0,4665
7971,0.54,5,3,7,61.8,55.0,1944
7972,1.11,3,4,4,62.3,58.0,6311
7973,1.15,5,4,7,60.6,56.0,9377
7974,0.36,5,3,7,62.0,54.0,783
7975,1.03,3,3,5,61.9,59.0,6294
7976,1.34,4,5,4,61.1,58.0,10431
7977,0.3,4,6,4,62.1,59.0,844
7978,0.42,5,6,4,62.1,56.0,1024
7979,0.94,3,3,2,62.7,61.0,3624
7980,0.43,4,4,4,59.1,60.0,1113
7981,0.42,5,6,7,62.0,56.0,1400
7982,0.32,5,6,3,63.2,55.0,528
7983,1.03,5,4,2,62.1,57.0,4470
7984,0.32,5,4,7,62.0,57.0,1080
7985,0.42,5,3,4,62.5,57.0,773
7986,0.51,5,7,3,61.7,55.0,1569
7987,0.55,4,5,3,62.9,58.0,1354
7988,0.31,3,6,3,58.7,60.0,507
7989,1.11,4,4,4,61.5,58.0,7055
7990,1.71,2,1,4,62.8,58.0,8831
7991,1.02,3,1,3,63.1,60.0,3879
7992,1.52,3,4,5,62.1,57.0,12968
7993,1.26,4,1,3,61.8,58.0,5080
7994,0.93,2,7,2,64.5,58.0,3839
7995,1.02,2,6,2,62.8,64.0,3838
7996,2.1,5,3,2,63.0,57.0,16629
7997,0.53,2,3,3,63.9,55.0,1132
7998,0.39,4,4,4,59.8,61.0,942
7999,1.01,5,4,3,61.4,57.0,4653
8000,1.19,3,3,3,62.7,61.0,5595
8001,1.01,4,1,2,61.8,60.0,3563
8002,0.54,5,3,4,62.6,57.0,1389
8003,0.7,5,1,4,62.6,57.0,1874
8004,0.4,5,3,3,62.2,55.0,1031
8005,0.41,3,5,3,63.3,57.0,969
8006,0.64,5,7,7,61.5,56.0,4281
8007,1.3,3,4,5,62.5,57.0,9837
8008,1.6,5,5,2,62.8,56.0,7616
8009,0.64,5,6,3,60.9,57.0,2215
8010,0.38,4,5,3,62.7,58.0,700
8011,0.72,5,2,5,62.1,55.0,2430
8012,1.73,4,3,2,60.5,60.0,6968
8013,0.7,5,6,3,61.1,56.0,2728
8014,1.06,4,5,4,61.8,60.0,6673
8015,0.3,5,5,3,62.3,56.0,461
8016,0.91,2,4,2,63.2,61.0,3340
8017,0.89,3,2,4,63.1,55.0,3238
8018,1.12,2,2,4,63.8,55.0,4766
8019,0.31,5,3,4,62.4,55.0,628
8020,0.7,5,5,3,61.8,53.0,2635
8021,1.01,4,5,2,62.7,58.0,3733
8022,0.35,5,5,4,62.5,57.0,906
8023,1.03,5,4,4,61.8,56.0,6241
8024,1.01,5,2,3,62.5,56.0,4413
8025,0.26,3,5,5,61.9,57.0,499
8026,1.06,3,5,8,60.6,56.0,9433
8027,1.01,2,5,6,61.1,65.0,8956
8028,1.1,3,2,5,60.2,59.0,5082
8029,0.32,5,7,4,61.5,56.0,758
8030,0.52,5,6,4,60.5,56.0,1897
8031,1.0,1,2,2,65.8,58.0,3348
8032,0.28,5,6,7,62.0,56.0,828
8033,0.71,4,3,4,61.3,58.0,2169
8034,0.73,4,6,2,60.1,59.0,2341
8035,0.44,4,4,6,61.3,60.0,1155
8036,0.57,5,5,6,60.2,57.0,2321
8037,0.9,4,5,2,62.6,62.0,3210
8038,0.32,5,6,2,61.6,56.0,427
8039,2.32,5,2,2,62.0,57.0,17516
8040,0.34,4,7,3,59.8,61.0,803
8041,0.42,4,4,4,60.6,59.0,1087
8042,0.8,2,5,5,63.3,55.0,3116
8043,0.36,4,7,4,59.1,58.0,852
8044,0.91,5,5,2,62.4,57.0,3812
8045,0.5,5,7,4,62.0,56.0,1628
8046,1.04,5,5,4,62.1,57.0,6692
8047,2.03,3,3,2,56.8,61.0,16442
8048,0.71,5,7,5,60.9,58.0,3716
8049,0.39,5,6,6,62.1,54.6,1100
8050,1.0,1,4,5,63.1,63.0,4630
8051,0.32,5,3,4,62.2,57.0,505
8052,0.31,4,3,4,62.4,59.0,489
8053,0.39,4,7,4,61.4,60.0,1024
8054,0.81,3,5,2,63.2,58.0,2843
8055,1.02,3,1,2,63.4,56.0,3599
8056,1.6,4,3,5,62.5,58.0,12084
8057,0.38,5,6,5,62.1,56.0,1069
8058,0.9,3,5,3,60.4,60.0,3950
8059,0.8,3,5,5,62.6,57.0,3720
8060,0.32,5,3,4,60.8,56.0,523
8061,0.32,4,6,3,62.8,57.0,720
8062,1.09,5,4,7,61.0,54.0,9282
8063,1.2,3,3,3,58.9,60.0,6019
8064,1.01,4,4,2,60.1,59.0,4327
8065,0.73,5,4,5,60.8,56.4,3209
8066,0.33,3,4,4,59.4,61.0,579
8067,1.07,5,4,8,61.5,57.0,9532
8068,0.61,5,4,2,59.5,57.0,1228
8069,1.24,4,3,3,60.1,58.0,6327
8070,0.91,2,6,1,57.7,63.0,2225
8071,1.02,3,5,3,60.9,57.0,5287
8072,0.41,4,4,4,61.0,56.0,1061
8073,1.0,2,3,4,57.8,59.0,4166
8074,0.3,3,2,7,63.1,57.0,709
8075,0.52,2,4,3,64.3,61.0,1147
8076,0.7,1,5,2,58.2,66.0,1920
8077,0.3,5,4,3,61.6,57.0,432
8078,0.7,4,7,5,61.2,60.0,3425
8079,1.17,4,4,5,62.4,56.0,7564
8080,1.51,5,6,4,62.7,57.0,14482
8081,0.9,3,5,3,63.4,62.0,3992
8082,0.51,4,7,3,60.9,59.0,1687
8083,0.38,3,4,5,61.9,54.0,693
8084,0.32,5,5,4,62.1,57.0,645
8085,0.9,3,5,3,62.5,60.0,3950
8086,0.42,4,3,6,62.4,57.0,984
8087,1.02,4,4,3,63.0,55.0,4718
8088,1.21,5,1,5,62.3,55.0,5421
8089,1.21,4,2,5,61.2,59.0,5540
8090,0.41,2,2,6,63.9,55.0,827
8091,0.4,5,5,7,61.3,56.0,1263
8092,1.01,2,3,4,63.5,61.0,4959
8093,0.61,5,6,6,60.8,56.0,3056
8094,0.71,3,5,3,61.9,57.0,2404
8095,1.32,4,2,3,62.2,58.0,6283
8096,1.11,5,2,3,61.9,55.0,5329
8097,2.02,4,2,3,62.1,58.0,11119
8098,0.41,5,1,7,61.2,57.0,994
8099,1.01,4,6,2,60.4,60.0,4790
8100,0.7,1,7,2,58.1,60.0,2358
8101,0.41,5,6,4,62.1,56.0,999
8102,0.5,2,6,3,64.0,56.0,1090
8103,1.0,3,4,5,59.1,61.0,6435
8104,0.53,5,7,4,61.7,55.0,1956
8105,1.5,4,5,5,59.6,60.0,15338
8106,0.8,5,5,4,61.4,56.0,4816
8107,0.7,4,6,2,61.8,59.0,2159
8108,0.4,5,3,4,62.4,56.0,704
8109,0.9,4,7,2,61.0,59.0,3740
8110,0.9,3,4,2,60.9,56.0,3581
8111,0.36,5,2,5,62.1,56.0,568
8112,1.01,4,4,6,61.2,59.0,7068
8113,0.5,5,7,3,62.1,57.0,1610
8114,0.33,4,2,6,61.5,58.0,579
8115,0.75,3,1,3,61.7,56.0,1859
8116,1.36,4,3,4,61.9,58.0,8877
8117,0.76,5,6,2,62.1,56.0,2978
8118,1.15,5,2,5,61.7,56.0,7096
8119,0.3,5,5,8,62.2,56.0,886
8120,1.2,5,4,4,61.9,56.0,7548
8121,0.77,5,7,4,61.8,56.0,3755
8122,1.6,5,3,3,62.7,56.0,9548
8123,0.91,3,5,3,61.4,58.0,3936
8124,1.21,5,6,8,61.8,56.0,17353
8125,0.32,5,7,6,60.9,57.0,1008
8126,0.59,2,2,2,63.9,57.0,1180
8127,0.3,2,4,7,64.0,57.0,878
8128,1.0,2,7,3,60.4,64.0,5005
8129,1.26,5,5,3,61.4,56.0,7824
8130,1.16,4,3,3,62.8,57.0,5702
8131,0.86,5,3,2,61.8,55.0,2892
8132,0.31,4,3,4,62.7,59.0,628
8133,1.0,2,2,3,63.2,56.0,4015
8134,1.51,5,2,4,62.6,56.0,9234
8135,1.0,4,3,2,59.6,62.0,3640
8136,0.34,5,6,2,62.4,57.0,477
8137,1.0,5,4,4,62.1,57.0,6612
8138,0.36,4,4,2,59.3,59.0,473
8139,0.3,5,4,8,62.6,54.0,826
8140,0.36,5,3,6,62.3,57.0,726
8141,1.01,3,6,5,63.4,58.0,7366
8142,0.81,5,7,2,61.9,54.0,3160
8143,0.53,5,2,3,61.6,56.6,1127
8144,1.5,5,7,4,62.8,53.5,15996
8145,0.3,1,5,6,65.5,61.0,743
8146,0.35,3,5,3,63.1,56.0,748
8147,0.4,5,4,7,62.0,56.0,1043
8148,1.0,4,7,5,62.7,60.0,8020
8149,0.92,5,4,2,61.9,57.0,4406
8150,0.41,5,6,7,61.9,58.0,1442
8151,1.0,2,6,3,57.2,62.0,5345
8152,1.23,4,6,2,62.5,58.0,5929
8153,0.35,3,3,2,63.2,61.0,551
8154,0.28,3,6,8,59.6,55.0,688
8155,0.4,5,4,2,62.1,55.0,926
8156,0.33,5,5,6,62.4,55.0,750
8157,1.52,4,3,5,61.4,58.0,11516
8158,2.3,5,4,2,61.6,57.0,15433
8159,0.5,5,6,5,62.2,56.0,1619
8160,1.23,5,4,5,61.2,56.0,9119
8161,0.33,5,6,4,61.3,55.0,928
8162,0.31,5,3,2,61.0,56.0,421
8163,0.93,3,4,2,62.9,56.0,4163
8164,1.01,2,7,6,63.7,57.0,8943
8165,1.12,5,4,5,62.2,56.0,7827
8166,1.2,5,3,4,62.4,56.6,7235
8167,1.28,4,6,8,59.8,59.0,15806
8168,1.56,4,1,4,61.7,58.0,7763
8169,0.31,5,7,2,62.0,56.0,593
8170,0.54,2,6,3,61.5,56.0,1600
8171,0.72,5,5,4,62.5,56.0,2546
8172,0.43,4,6,2,60.8,58.0,919
8173,0.73,5,4,3,60.9,57.0,3089
8174,1.21,5,4,5,62.7,54.0,9323
8175,0.5,4,4,5,60.7,60.0,1624
8176,0.33,4,7,2,61.6,59.0,631
8177,0.34,5,2,8,61.3,55.0,695
8178,0.32,3,2,3,62.8,58.0,432
8179,0.3,4,4,8,61.6,60.0,895
8180,1.08,5,3,4,61.9,54.0,5850
8181,0.71,5,4,4,62.5,56.0,2543
8182,0.72,4,7,2,59.1,58.0,2043
8183,0.35,5,7,2,62.2,56.0,669
8184,0.64,5,5,4,61.1,56.0,2419
8185,0.3,3,4,7,60.7,57.0,691
8186,0.71,2,7,2,63.3,55.0,2436
8187,0.3,5,5,7,62.4,56.0,1114
8188,0.25,3,4,7,59.4,63.0,457
8189,0.7,5,2,5,61.5,56.0,2924
8190,1.3,4,7,2,61.5,58.0,7044
8191,1.59,5,3,3,61.4,55.0,10284
8192,1.11,4,4,2,62.5,57.0,3804
8193,0.45,5,7,5,62.3,56.0,1330
8194,0.5,3,4,5,63.2,59.0,1580
8195,0.52,5,7,4,61.3,56.0,1822
8196,1.01,5,1,4,61.3,57.0,4486
8197,0.41,2,7,3,56.5,63.0,758
8198,0.42,5,7,7,61.8,56.0,1547
8199,1.03,3,4,2,63.0,60.0,3755
8200,0.7,3,4,4,63.2,57.0,2353
8201,1.54,5,2,3,63.5,61.0,9942
8202,2.04,3,4,2,59.9,58.0,16389
8203,0.44,5,7,5,62.3,55.0,1294
8204,0.32,4,3,3,62.0,58.0,461
8205,0.32,5,2,4,62.0,57.0,449
8206,0.51,4,4,4,62.4,58.0,1438
8207,0.39,2,4,4,63.7,53.0,942
8208,0.39,2,4,8,63.5,56.0,1213
8209,0.36,5,5,8,62.2,55.0,1137
8210,0.39,5,1,4,61.2,56.0,642
8211,2.05,4,3,2,62.5,58.0,16431
8212,0.33,5,5,7,61.1,56.0,893
8213,0.3,3,5,3,60.3,61.0,471
8214,0.76,4,1,5,61.1,58.0,2262
8215,0.32,5,7,2,61.7,55.0,454
8216,1.62,5,3,4,62.4,57.0,11114
8217,0.31,5,4,7,61.6,56.0,1046
8218,1.01,3,4,4,63.4,55.0,6406
8219,1.24,5,3,3,61.3,57.0,6254
8220,0.71,3,6,5,63.4,58.0,3009
8221,0.9,3,7,3,63.3,57.0,4304
8222,0.54,3,6,3,59.6,62.0,1559
8223,1.18,5,2,5,62.6,55.3,6541
8224,0.51,2,5,3,63.6,58.0,1308
8225,2.07,5,3,2,63.5,53.0,18198
8226,1.09,5,5,5,60.6,57.0,8422
8227,1.11,5,5,4,61.9,55.0,7823
8228,0.23,2,6,6,63.3,56.0,530
8229,1.13,5,4,6,60.7,57.0,8192
8230,0.71,5,3,2,62.7,57.0,2178
8231,0.5,5,6,3,61.2,56.0,1555
8232,1.38,4,3,2,60.2,60.0,5641
8233,1.24,4,4,5,62.0,59.0,7800
8234,0.33,5,5,4,61.9,57.0,854
8235,0.25,3,3,7,61.6,56.0,467
8236,0.5,4,7,3,61.3,60.0,1279
8237,0.42,5,1,5,60.9,57.0,851
8238,0.5,5,6,5,62.2,57.0,1724
8239,1.09,3,2,2,63.8,57.0,4078
8240,1.11,5,7,2,61.3,56.0,6129
8241,0.91,4,4,2,61.3,60.0,3423
8242,0.42,3,5,5,59.8,57.0,921
8243,1.0,1,7,2,66.5,59.0,3965
8244,1.06,4,5,4,61.2,57.0,5942
8245,0.38,4,5,7,61.6,58.0,1257
8246,2.03,3,2,3,62.2,59.0,16693
8247,1.53,4,3,4,62.2,58.0,11280
8248,2.21,5,4,2,61.9,55.0,18276
8249,0.33,5,6,2,61.7,55.0,427
8250,0.91,3,6,3,58.8,59.0,4191
8251,0.42,4,4,7,59.3,59.0,1179
8252,0.31,4,2,3,62.3,59.0,523
8253,1.19,4,6,5,59.8,58.0,9263
8254,1.24,3,3,2,63.2,55.0,5486
8255,2.07,3,2,3,63.1,59.0,15751
8256,0.31,4,2,6,59.4,59.0,544
8257,1.07,5,5,4,62.0,57.0,6459
8258,1.09,5,4,6,62.0,54.8,8149
8259,0.78,5,4,2,61.7,55.0,2246
8260,0.3,5,6,5,61.3,58.0,694
8261,0.41,5,7,2,61.0,56.0,683
8262,0.71,3,1,6,61.1,58.0,2226
8263,0.32,5,5,5,61.9,55.0,876
8264,1.41,4,4,3,62.1,59.0,8572
8265,0.38,5,4,6,61.0,56.0,943
8266,1.0,4,3,2,62.7,58.0,4200
8267,2.25,4,2,2,61.9,59.0,11114
8268,0.38,5,2,3,61.8,54.0,593
8269,2.02,4,2,3,62.5,59.0,16191
8270,0.96,5,4,2,62.1,57.0,3871
8271,0.54,3,3,3,63.3,57.0,1240
8272,0.3,5,3,6,61.5,56.0,605
8273,0.9,4,2,5,62.9,60.0,3484
8274,0.3,5,2,5,62.3,55.0,457
8275,0.37,4,5,4,60.5,59.0,894
8276,0.7,3,5,3,63.5,59.0,2264
8277,0.7,3,6,2,60.1,56.0,2290
8278,0.82,5,2,5,61.6,57.0,2986
8279,1.5,3,7,3,60.0,59.0,12060
8280,0.94,4,4,3,61.3,61.0,4159
8281,0.9,2,3,3,59.0,62.0,3577
8282,0.59,3,6,2,62.9,58.0,1362
8283,1.05,4,2,1,61.8,56.0,2339
8284,0.9,2,3,5,60.6,61.0,4072
8285,0.92,5,6,3,61.4,54.6,4258
8286,1.51,4,3,5,61.8,59.0,11263
8287,0.31,5,3,6,61.8,56.0,802
8288,0.32,5,5,6,62.1,54.0,739
8289,0.71,3,7,3,61.7,59.0,2693
8290,0.93,4,3,3,61.8,59.0,3750
8291,1.59,3,2,4,60.5,63.0,10106
8292,0.3,3,4,4,60.8,61.0,526
8293,0.35,3,4,7,61.2,57.0,842
8294,0.9,2,6,3,60.8,65.0,3933
8295,0.31,5,6,5,61.8,56.0,734
8296,0.31,4,2,4,59.3,59.0,521
8297,0.3,5,7,4,61.7,55.0,911
8298,0.39,5,6,5,62.3,57.0,1097
8299,0.4,5,5,2,62.8,55.0,597
8300,0.25,3,6,4,63.3,60.0,404
8301,0.43,5,4,7,62.0,55.0,1207
8302,1.01,3,2,2,61.4,59.0,3833
8303,1.01,4,6,3,60.0,59.0,5973
8304,1.3,4,4,4,62.5,58.0,9120
8305,0.3,4,5,3,60.9,60.0,500
8306,0.28,5,5,8,62.6,53.0,787
8307,0.54,4,3,5,61.3,58.0,1637
8308,0.42,4,5,4,60.1,61.0,1013
8309,0.9,2,4,3,64.2,58.0,3250
8310,0.8,5,6,3,61.5,58.0,3362
8311,0.54,5,4,7,62.2,56.0,2080
8312,0.5,5,6,4,62.1,57.0,1629
8313,0.3,5,5,6,62.2,55.0,684
8314,1.01,2,6,4,63.9,59.0,6968
8315,0.52,5,2,4,61.8,54.0,1152
8316,1.01,3,3,2,58.9,60.0,4185
8317,1.16,5,7,2,62.1,54.0,5793
8318,0.24,3,7,7,61.5,60.0,553
8319,0.3,4,5,8,60.7,58.0,947
8320,0.79,3,6,7,62.8,60.0,4570
8321,0.58,3,7,6,63.0,56.0,2400
8322,1.21,5,4,5,62.5,55.0,8020
8323,0.4,5,5,3,62.9,57.0,945
8324,0.41,5,6,2,62.8,57.0,876
8325,1.13,5,2,4,62.3,56.0,4940
8326,0.44,5,4,4,62.0,55.0,869
8327,0.41,5,7,4,61.7,56.0,1076
8328,0.6,3,4,8,61.6,56.0,2800
8329,0.71,3,5,2,62.8,58.0,2147
8330,0.31,5,4,5,61.5,56.0,802
8331,0.71,5,2,8,61.5,56.0,2925
8332,0.7,4,2,7,61.2,58.0,2536
8333,0.7,5,1,3,60.1,59.0,1949
8334,1.0,1,5,2,65.5,54.0,3864
8335,1.09,3,4,5,60.0,57.0,7281
8336,1.7,4,2,2,61.7,56.0,7140
8337,0.31,3,4,5,60.4,59.0,542
8338,1.33,5,1,3,62.4,54.0,5857
8339,0.37,5,7,3,61.1,57.0,823
8340,0.9,3,7,3,62.6,58.0,4381
8341,0.86,2,7,7,64.3,53.0,5029
8342,0.9,3,5,3,61.3,58.0,3780
8343,1.74,4,2,5,62.5,57.0,13037
8344,0.76,5,7,5,61.1,54.0,3353
8345,1.5,3,3,5,63.4,56.0,10584
8346,1.0,4,3,3,62.3,60.0,4788
8347,0.44,2,6,4,59.0,64.0,1001
8348,0.32,4,6,3,62.2,58.0,720
8349,1.72,4,5,1,60.1,58.0,7532
8350,1.53,5,3,3,62.3,57.0,10153
8351,0.56,5,4,8,62.2,54.0,2321
8352,1.01,4,3,2,61.3,59.0,4355
8353,0.33,4,4,5,62.4,59.0,854
8354,1.05,3,6,2,63.2,59.0,4281
8355,2.0,4,3,2,62.8,57.0,11975
8356,0.72,5,7,4,62.6,58.0,3495
8357,0.5,2,4,3,63.6,55.0,1286
8358,0.72,4,4,6,60.7,60.0,2679
8359,0.23,3,4,7,61.5,56.0,484
8360,1.04,5,1,2,60.4,57.0,3762
8361,0.7,4,5,5,59.0,59.0,2874
8362,0.35,5,2,4,61.1,57.0,509
8363,0.33,4,7,4,60.7,58.0,781
8364,0.41,3,6,2,63.0,57.0,638
8365,0.39,2,3,4,63.1,58.0,718
8366,0.9,3,7,2,63.0,58.0,3534
8367,0.42,3,4,3,61.6,61.0,687
8368,0.91,1,6,2,64.5,60.0,3119
8369,0.72,5,4,2,61.6,54.0,2170
8370,0.7,3,4,5,63.0,60.0,2812
8371,1.28,4,4,4,61.4,58.0,8458
8372,0.28,2,1,6,58.4,60.0,375
8373,0.44,5,6,6,61.9,56.0,1334
8374,1.7,5,5,4,61.3,54.0,17662
8375,1.09,5,4,4,62.2,55.0,7961
8376,2.22,1,4,2,64.4,58.0,12508
8377,0.9,1,6,1,59.9,66.0,2138
8378,1.0,2,5,8,60.7,64.0,9660
8379,0.42,5,3,3,62.2,57.0,898
8380,0.51,5,7,4,61.5,56.0,1674
8381,1.59,4,6,2,62.3,58.0,6010
8382,0.41,3,1,6,63.1,60.0,754
8383,0.27,3,6,7,62.3,56.0,682
8384,1.51,4,3,4,60.2,60.0,10951
8385,0.42,4,6,3,60.0,58.0,722
8386,1.21,2,4,4,63.7,59.0,6906
8387,0.3,5,7,4,61.3,57.0,710
8388,0.36,5,7,5,61.1,56.0,1095
8389,0.34,5,5,4,62.5,55.0,686
8390,0.3,3,3,3,63.4,60.0,554
8391,1.22,5,5,2,61.7,54.9,6132
8392,0.41,5,6,4,62.3,56.0,935
8393,0.41,4,6,3,60.2,60.0,755
8394,0.34,5,4,4,62.2,55.0,765
8395,1.12,4,5,4,62.8,56.0,7437
8396,1.6,5,1,5,62.0,53.0,10011
8397,0.9,5,4,7,62.9,56.0,6237
8398,1.51,5,2,5,63.2,57.0,10655
8399,2.02,4,3,3,63.0,60.0,13453
8400,0.54,5,7,3,60.7,56.0,1786
8401,0.36,5,2,8,61.9,54.0,735
8402,1.07,4,3,3,62.1,58.0,5055
8403,0.73,5,4,3,62.0,54.0,2583
8404,0.65,5,5,3,61.4,58.0,1841
8405,0.52,3,4,3,63.1,58.0,1343
8406,0.39,4,4,5,62.6,58.0,1097
8407,0.53,2,4,3,63.8,56.0,1363
8408,0.31,5,5,8,62.2,56.0,979
8409,2.03,3,7,2,63.1,58.0,13858
8410,0.56,3,6,6,62.1,58.0,2040
8411,1.5,3,4,4,63.5,54.0,13239
8412,0.54,5,6,4,61.9,55.0,1847
8413,1.24,4,3,2,59.9,60.0,5694
8414,0.4,4,6,4,62.2,59.0,912
8415,0.36,5,5,2,62.2,55.0,450
8416,1.01,4,5,2,60.0,59.0,3897
8417,0.7,5,3,3,61.9,57.0,2107
8418,0.58,5,5,7,61.7,56.0,2772
8419,2.07,2,2,4,64.1,57.0,15119
8420,0.7,3,7,2,63.1,58.0,1806
8421,1.21,5,5,7,62.0,58.0,12613
8422,0.33,5,6,5,59.6,56.0,1002
8423,0.9,2,5,3,58.8,60.0,4004
8424,0.7,5,6,3,60.6,57.0,2614
8425,1.0,4,5,5,62.7,55.0,7056
8426,0.41,5,4,2,61.7,55.0,664
8427,0.31,4,7,3,60.9,60.0,732
8428,0.43,5,4,6,60.9,57.0,1408
8429,1.01,4,3,3,59.8,60.0,4559
8430,1.06,3,7,3,59.3,60.0,6062
8431,1.01,4,7,6,62.4,60.0,10221
8432,1.21,4,6,2,58.8,58.0,6065
8433,1.06,3,7,3,59.4,57.0,5713
8434,0.37,5,5,5,61.1,57.0,811
8435,0.58,3,3,3,62.5,58.0,1402
8436,0.59,5,6,5,62.3,56.0,2294
8437,0.33,3,4,3,63.2,57.0,631
8438,1.05,4,7,3,60.5,60.0,5762
8439,0.75,5,7,2,62.2,55.0,2757
8440,0.71,3,4,2,63.4,56.0,2086
8441,1.02,3,7,3,60.3,56.0,6863
8442,0.36,5,6,6,62.0,54.0,887
8443,0.71,3,5,4,63.0,54.0,3323
8444,0.37,4,7,5,61.9,58.0,941
8445,0.53,5,6,4,62.4,56.0,1813
8446,0.71,5,4,4,62.9,56.0,2443
8447,0.72,5,7,5,62.5,55.0,3629
8448,1.01,4,4,3,61.3,59.0,5006
8449,1.26,4,2,2,60.1,59.0,5080
8450,0.53,5,5,7,61.4,56.0,2618
8451,1.15,4,3,3,60.9,57.0,5139
8452,0.7,4,7,3,59.8,57.0,2589
8453,0.9,3,6,3,62.5,60.0,3748
8454,0.41,4,4,5,60.5,58.0,961
8455,0.31,3,2,3,63.3,53.0,523
8456,1.08,4,3,2,61.2,58.0,4717
8457,1.33,3,1,4,62.7,59.0,5785
8458,0.42,5,5,3,61.9,54.0,838
8459,0.72,5,6,4,62.7,55.0,2691
8460,0.53,4,6,7,60.8,59.0,2514
8461,0.56,5,5,6,61.1,57.0,2676
8462,0.23,3,5,6,61.3,60.0,465
8463,1.03,5,7,2,61.8,54.0,5013
8464,0.31,5,4,7,62.3,54.0,789
8465,0.41,5,1,4,61.8,55.0,637
8466,0.31,5,3,3,62.7,56.0,573
8467,0.73,5,6,5,61.2,57.0,3620
8468,0.68,3,5,3,60.1,57.9,1964
8469,1.01,4,4,6,61.9,58.0,6371
8470,1.5,3,7,2,59.8,63.0,9959
8471,0.53,2,6,4,63.5,59.0,1561
8472,1.53,3,4,4,61.6,57.0,13248
8473,1.21,3,2,3,61.2,62.0,5190
8474,1.76,4,4,4,61.5,58.0,16879
8475,0.31,3,7,5,62.3,56.0,736
8476,1.0,5,6,3,62.7,57.0,5622
8477,0.3,5,5,4,61.8,56.0,605
8478,0.23,3,7,7,59.7,58.0,458
8479,0.37,3,6,5,62.0,56.0,925
8480,0.27,5,4,4,61.6,54.0,490
8481,1.76,3,3,3,63.0,63.0,9336
8482,0.33,3,3,4,61.4,58.0,521
8483,0.38,5,5,2,60.9,56.0,568
8484,0.42,5,4,5,61.0,56.0,823
8485,0.58,5,5,5,60.6,55.0,2117
8486,0.25,5,4,6,61.5,56.0,525
8487,1.14,4,4,2,60.9,56.0,5139
8488,0.32,5,2,3,60.7,57.0,554
8489,0.5,3,5,4,63.0,58.0,1436
8490,0.31,4,3,8,60.4,58.0,977
8491,0.38,3,3,7,60.0,57.0,975
8492,0.3,4,4,4,61.9,58.0,526
8493,2.42,4,1,2,62.3,58.0,16198
8494,0.27,3,6,5,60.6,59.0,413
8495,0.32,2,7,3,63.8,55.0,550
8496,1.21,4,3,3,59.5,58.0,6025
8497,1.07,3,4,2,58.5,61.0,4201
8498,1.51,4,6,5,62.7,58.0,16518
